timestep benthamHalfLookaheadBinary_pop benthamHalfLookaheadBinary_mttl benthamHalfLookaheadBinary_strv benthamHalfLookaheadBinary_comd benthamHalfLookaheadBinary_welt benthamHalfLookaheadBinary_maad egoisticHalfLookaheadBinary_pop egoisticHalfLookaheadBinary_mttl egoisticHalfLookaheadBinary_strv egoisticHalfLookaheadBinary_comd egoisticHalfLookaheadBinary_welt egoisticHalfLookaheadBinary_maad rawSugarscape_pop rawSugarscape_mttl rawSugarscape_strv rawSugarscape_comd rawSugarscape_welt rawSugarscape_maad
0 250.0 7.226700000000003 0.0 0.0 12442.0 0.0 250.0 7.226700000000002 0.0 0.0 12442.0 0.0 250.0 7.226700000000002 0.0 0.0 12442.0 0.0
1 249.84 6.733099999999999 0.01 0.15 13383.868 0.045 224.68 6.928899999999998 0.01 25.31 12259.000700000002 0.2408 224.88 6.9368000000000025 0.01 25.11 12265.899000000003 0.24440000000000012
2 248.14 6.333800000000001 1.35 0.35 14258.5788 0.8278 210.55 6.6361000000000026 1.03 13.1 12345.263600000006 1.2772 210.72 6.6496 1.06 13.1 12348.348299999998 1.2808
3 240.69 6.125300000000001 7.38 0.07 14824.298399999998 2.0011 196.03 6.514599999999999 5.21 9.31 12289.506600000004 2.1814 196.11 6.5410999999999975 5.01 9.6 12275.108199999995 2.1848
4 226.73 6.1027 13.87 0.09 14977.4317 3.0012 178.41 6.604299999999995 9.77 7.85 11933.2912 3.1098000000000003 179.13 6.6248000000000005 9.78 7.2 11972.881000000001 3.0921000000000007
5 211.15 6.185299999999999 15.55 0.03 14950.573099999998 4.0008 162.05 6.767399999999997 10.38 5.98 11538.052700000006 4.087100000000001 163.2 6.789800000000005 10.37 5.56 11621.131699999996 4.0849
6 195.19 6.329999999999997 15.9 0.06 14766.818399999998 5.0028 147.97 6.9785 9.9 4.18 11177.692400000005 5.071899999999999 148.97 7.023100000000003 10.03 4.2 11252.948400000001 5.0725
7 180.54 6.509599999999999 14.58 0.07 14547.489000000001 6.000799999999999 135.11 7.242399999999998 9.17 3.69 10794.341699999997 6.064100000000001 135.78 7.291699999999997 9.53 3.66 10855.337399999995 6.054800000000001
8 165.78 6.787700000000001 14.74 0.02 14214.278400000001 7.0007 123.38 7.535899999999999 8.79 2.94 10411.412900000001 7.036900000000002 124.62 7.5738 8.21 2.95 10518.802899999999 7.0453
9 152.84 7.102000000000001 12.92 0.02 13907.714199999999 8.0 113.05 7.907200000000005 8.09 2.24 10066.549000000005 8.038200000000002 113.84 7.9627 8.39 2.39 10133.030499999999 8.0354
10 140.4 7.512299999999999 12.4 0.04 13525.6072 9.000599999999999 102.66 8.395900000000001 8.05 2.34 9622.747700000002 9.038300000000001 103.96 8.400600000000003 7.55 2.33 9741.5449 9.0396
11 130.38 7.950300000000001 9.98 0.04 13272.860900000001 10.0 94.8 8.873899999999997 6.06 1.8 9343.468100000004 10.024500000000003 95.58 8.920900000000001 6.5 1.88 9411.1544 10.0431
12 122.2 8.385500000000002 8.18 0.0 13110.6264 11.0 88.1 9.372200000000007 5.13 1.57 9111.2955 11.033100000000001 89.02 9.401299999999999 4.98 1.58 9195.635199999997 11.040000000000003
13 115.64 8.8137 6.7 0.01 13019.868 11.88 82.56 9.822000000000001 4.08 1.52 8921.538500000002 11.9072 83.49 9.8505 4.02 1.55 8999.4526 12.027800000000003
14 110.48 9.234200000000001 5.55 0.01 13020.080799999998 13.0 78.16 10.2871 3.31 1.39 8794.990800000001 12.9114 78.95 10.330200000000001 3.49 1.32 8870.318099999999 12.8935
15 106.43 9.619399999999999 4.86 0.02 13066.065799999998 13.862 74.94 10.650599999999997 2.51 1.25 8726.3591 13.890899999999998 75.21 10.768999999999998 3.02 1.16 8793.450099999996 13.804199999999998
