timestep benthamHalfLookaheadBinary_pop benthamHalfLookaheadBinary_mttl benthamHalfLookaheadBinary_strv benthamHalfLookaheadBinary_comd benthamHalfLookaheadBinary_welt benthamHalfLookaheadBinary_maad egoisticHalfLookaheadBinary_pop egoisticHalfLookaheadBinary_mttl egoisticHalfLookaheadBinary_strv egoisticHalfLookaheadBinary_comd egoisticHalfLookaheadBinary_welt egoisticHalfLookaheadBinary_maad rawSugarscape_pop rawSugarscape_mttl rawSugarscape_strv rawSugarscape_comd rawSugarscape_welt rawSugarscape_maad
0 250.0 7.229100000000004 0.0 0.0 12442.0 0.0 250.0 7.2291 0.0 0.0 12442.0 0.0 250.0 7.229100000000004 0.0 0.0 12442.0 0.0
1 249.84 6.960399999999997 0.0 0.16 13383.708799999999 0.05 225.13 7.117399999999999 0.0 24.87 12281.376399999997 0.22339999999999996 224.95 7.113299999999998 0.0 25.05 12270.057699999998 0.23360000000000006
2 248.32 6.6937999999999995 1.17 0.35 14266.5048 0.8111 210.49 6.954500000000004 0.82 13.82 12334.019100000003 1.2759999999999994 210.38 6.944100000000001 0.86 13.71 12326.584399999992 1.2744000000000002
3 242.19 6.522800000000003 6.03 0.1 14907.135499999999 2.0071 196.31 6.898900000000001 4.54 9.64 12299.014100000004 2.1911000000000005 195.87 6.8764 4.71 9.8 12262.5783 2.1870000000000003
4 229.89 6.539000000000003 12.24 0.06 15159.500299999998 3.0009 179.8 7.0183 8.18 8.33 12011.3984 3.1342999999999988 179.89 7.0074000000000005 8.44 7.54 12010.6467 3.1187000000000022
5 215.4 6.629699999999998 14.45 0.04 15206.6014 4.0 164.38 7.2394 9.66 5.76 11683.6199 4.090400000000001 164.17 7.205699999999999 9.79 5.93 11660.2188 4.0792
6 200.92 6.762599999999999 14.43 0.05 15139.424800000003 5.002 150.67 7.4753 8.78 4.93 11341.739399999997 5.0894 150.38 7.442899999999997 9.32 4.47 11332.725299999996 5.062999999999999
7 186.54 6.948699999999999 14.36 0.02 14978.768100000001 6.000799999999999 137.93 7.740099999999997 8.87 3.87 10975.274600000002 6.0619000000000005 138.48 7.679999999999998 8.2 3.7 11028.755100000002 6.059100000000001
8 173.21 7.175999999999999 13.29 0.04 14785.258499999998 7.0005 126.13 8.080400000000001 8.25 3.55 10587.8445 7.040500000000001 127.14 8.013299999999997 8.13 3.21 10693.477499999995 7.0546999999999995
9 159.72 7.501100000000001 13.44 0.05 14475.9054 8.0 115.22 8.509200000000003 7.99 2.92 10190.842999999999 8.036700000000002 116.56 8.3505 7.46 3.12 10310.155599999996 8.041100000000002
